device_id,firmware_version,trial,pwm_frequency_hz,duty_percent,duration_seconds,water_ml,started_reliably,flow_observation,abnormal_noise,stalled,overheating,primed_tube,notes
,0.3.13,1,1000,25,10,,,,,,,true,
,0.3.13,2,1000,25,10,,,,,,,true,
,0.3.13,3,1000,25,10,,,,,,,true,
,0.3.13,1,1000,50,10,,,,,,,true,
,0.3.13,2,1000,50,10,,,,,,,true,
,0.3.13,3,1000,50,10,,,,,,,true,
,0.3.13,1,1000,75,10,,,,,,,true,
,0.3.13,2,1000,75,10,,,,,,,true,
,0.3.13,3,1000,75,10,,,,,,,true,
,0.3.13,1,1000,100,10,,,,,,,true,
,0.3.13,2,1000,100,10,,,,,,,true,
,0.3.13,3,1000,100,10,,,,,,,true,
